ticker,date,open,high,low,close
FXS,2024-01-03,9.15538,9.48608,8.28646,8.48684
FXS,2024-01-04,8.48261,9.58229,8.28824,8.69113
FXS,2024-01-05,8.68734,8.72503,7.95293,8.13502
FXS,2024-01-06,8.13772,8.37673,7.89099,8.03892
FXS,2024-01-07,8.04002,8.23048,7.56562,7.57605
FXS,2024-01-08,7.57855,8.11862,7.228,8.11862
FXS,2024-01-09,8.11942,8.13015,7.61652,7.93466
FXS,2024-01-10,7.93846,9.06082,7.86311,8.87532
FXS,2024-01-11,8.89551,11.1303,8.70548,9.57817
FXS,2024-01-12,9.58057,9.7432,8.68545,8.7888
FXS,2024-01-13,8.78394,9.32355,8.61012,9.29117
FXS,2024-01-14,9.30347,9.35608,8.84142,8.84966
FXS,2024-01-15,8.84595,9.05142,8.68963,8.82587
FXS,2024-01-16,8.82637,9.24992,8.81478,9.00455
FXS,2024-01-17,8.99926,9.12033,8.77441,8.84754
FXS,2024-01-18,8.83456,9.43226,8.59241,8.69391
FXS,2024-01-19,8.68971,8.92228,8.35375,8.85233
FXS,2024-01-20,8.85063,9.1813,8.83114,9.08335
FXS,2024-01-21,9.08315,9.6001,9.04558,9.47202
FXS,2024-01-22,9.47803,9.77126,9.11412,9.35628
FXS,2024-01-23,9.32201,9.56833,8.61537,9.12607
FXS,2024-01-24,9.12877,10.1939,9.11008,10.0288
FXS,2024-01-25,10.0308,10.2769,9.50467,9.84868
FXS,2024-01-26,9.85068,10.4615,9.69915,10.1716
FXS,2024-01-27,10.1695,10.5265,10.0752,10.1935
FXS,2024-01-28,10.1933,10.3418,9.77163,9.87572
FXS,2024-01-29,9.85662,10.0409,9.56572,9.8395
FXS,2024-01-30,9.8319,10.6554,9.759,10.4812
FXS,2024-01-31,10.4787,10.6314,9.60243,9.66658
FXS,2024-02-01,9.66658,9.97951,9.41789,9.87634
FXS,2024-02-02,9.88683,10.3238,9.79356,10.2478
FXS,2024-02-03,10.2528,10.4249,10.0346,10.2632
FXS,2024-02-04,10.2713,10.2851,9.89974,9.96131
FXS,2024-02-05,9.97071,10.8503,9.85627,10.2436
FXS,2024-02-06,10.2336,10.4615,9.13517,9.16707
FXS,2024-02-07,9.16316,9.4737,9.02802,9.39812
FXS,2024-02-08,9.39812,9.88334,9.05172,9.10191
FXS,2024-02-09,9.10682,9.25915,8.89891,9.04824
FXS,2024-02-10,9.04542,9.20967,8.94585,9.04162
FXS,2024-02-11,9.04813,9.19358,8.92769,8.9824
FXS,2024-02-12,8.9706,9.21118,8.8369,9.105
FXS,2024-02-13,9.10701,9.21314,8.79762,8.92048
FXS,2024-02-14,8.89347,9.11956,8.74787,8.86624
FXS,2024-02-15,8.86633,9.06544,8.78929,8.8607
FXS,2024-02-16,8.8577,9.30474,8.82479,8.92287
FXS,2024-02-17,8.93087,8.99137,8.25972,8.56297
FXS,2024-02-18,8.56697,8.80197,8.4733,8.78997
FXS,2024-02-19,8.78405,9.32628,8.7381,9.27423
FXS,2024-02-20,9.27613,9.27723,8.57051,8.9517
FXS,2024-02-21,8.9507,8.99972,8.26375,8.481
FXS,2024-02-22,8.481,8.574,8.13105,8.21637
FXS,2024-02-23,8.21329,8.49173,8.00056,8.21685
FXS,2024-02-24,8.20885,8.83776,8.14235,8.433
FXS,2024-02-25,8.43192,8.52638,8.35383,8.46258
FXS,2024-02-26,8.47166,9.87059,8.37192,9.0789
FXS,2024-02-27,9.0779,9.48379,8.94474,9.47679
FXS,2024-02-28,9.48079,9.64734,7.8117,8.94726
FXS,2024-02-29,8.96527,9.73588,8.72006,8.87423
FXS,2024-03-01,8.87726,9.23874,8.87726,9.18407
FXS,2024-03-02,9.19198,9.40296,8.94195,8.99745
FXS,2024-03-03,9.00582,9.18996,8.30321,8.93902
FXS,2024-03-04,8.93802,9.35585,8.76873,9.10901
FXS,2024-03-05,9.10701,9.15159,6.76162,7.81439
FXS,2024-03-06,7.81439,8.28908,7.57336,7.9974
FXS,2024-03-07,8.00392,8.81296,7.75229,8.52334
FXS,2024-03-08,8.53519,8.74158,8.20132,8.71616
FXS,2024-03-09,8.71608,9.69677,8.65738,9.17686
FXS,2024-03-10,9.18078,9.23181,8.73186,8.78981
FXS,2024-03-11,8.78881,9.46313,8.54849,8.90378
FXS,2024-03-12,8.91978,9.38463,8.56511,8.99663
FXS,2024-03-13,8.99563,10.137,8.9699,9.5127
FXS,2024-03-14,9.51676,9.6108,8.71084,9.13271
FXS,2024-03-15,9.13071,9.20012,7.83418,8.36784
FXS,2024-03-16,8.36475,8.48425,7.54206,7.65548
FXS,2024-03-17,7.65148,8.13477,7.3645,8.07064
FXS,2024-03-18,8.07264,8.08895,7.4858,7.65254
FXS,2024-03-19,7.65254,7.79399,6.71689,6.75786
FXS,2024-03-20,6.77397,7.40878,6.58395,7.349
FXS,2024-03-21,7.37882,7.82501,7.15407,7.3883
FXS,2024-03-22,7.3883,7.47046,6.90397,7.00154
FXS,2024-03-23,7.00454,7.44037,6.99854,7.313
FXS,2024-03-24,7.31,7.54477,7.18593,7.52955
FXS,2024-03-25,7.53155,7.7197,7.44848,7.65615
FXS,2024-03-26,7.65715,8.02184,7.57936,7.95908
FXS,2024-03-27,7.95816,8.07703,7.538,7.7802
FXS,2024-03-28,7.7802,7.80355,7.48958,7.68161
FXS,2024-03-29,7.67861,7.90587,7.50913,7.7177
